model,prompt,mode,sample,batch,title,n_judges,coherence,harmony,rhythm,structure,melody,emotion,creativity,naturalness,valence,arousal,intent,emotion_label,overall
llama-4-maverick,free-form,abc,6,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.8,2.9,3.6,2.3,2.4,2.2,1.4,2.4,3.5,2.1,,serene,2.625
gpt-4.1,free-form,abc,7,20260622_195241__models_7_prompts_1,Twilight Whispers,10,4.0,3.6,4.1,3.7,3.2,3.2,2.5,3.8,2.0,2.5,,wistful,3.512
gemini-2.5-pro,free-form,abc,6,20260622_195241__models_7_prompts_1,Silicon Dreams,10,3.8,4.0,3.7,4.0,3.0,3.4,3.0,4.1,2.6,2.4,,wistful,3.625
gpt-5.5,free-form,abc,7,20260622_195241__models_7_prompts_1,Quiet Algorithm at Dawn,10,4.0,4.0,3.6,3.8,3.2,3.4,2.3,4.3,2.1,2.4,,melancholic,3.575
deepseek-v4-pro,free-form,abc,5,20260622_195241__models_7_prompts_1,Whispers of the Evening,10,4.4,4.2,3.6,3.9,3.3,4.0,2.4,4.0,2.0,3.2,,melancholic,3.725
grok-4.3,free-form,abc,7,20260622_195241__models_7_prompts_1,Echoes of Infinity,10,3.3,3.3,2.9,2.7,2.0,2.2,1.4,2.8,3.6,1.6,,serene,2.575
llama-4-maverick,free-form,abc,7,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.6,3.7,3.3,2.8,2.5,2.6,1.6,3.4,4.2,2.1,,serene,2.938
qwen3-max,free-form,abc,7,20260622_195241__models_7_prompts_1,Whispers in the Code,10,3.4,3.8,3.6,3.1,2.6,2.8,2.2,3.3,4.1,2.9,,serene,3.1
gemini-2.5-pro,free-form,abc,7,20260622_195241__models_7_prompts_1,Quiet Calculation,10,3.9,3.8,3.7,3.8,3.1,3.8,2.5,3.9,2.0,1.6,,melancholic,3.562
gpt-4.1,free-form,abc,8,20260622_195241__models_7_prompts_1,Shifting Lights,10,3.8,3.6,3.6,3.5,3.2,3.4,2.5,3.6,2.0,2.4,,wistful,3.4
grok-4.3,free-form,abc,8,20260622_195241__models_7_prompts_1,Logical Flow,10,3.8,3.6,3.3,3.3,2.7,2.5,1.7,3.3,4.3,3.2,,neutral,3.025
gpt-5.5,free-form,abc,8,20260622_195241__models_7_prompts_1,Lanterns in the Circuit,10,4.3,4.2,4.0,3.8,3.3,3.6,2.5,3.7,2.0,2.7,,melancholic,3.675
gemini-2.5-pro,free-form,abc,4,20260622_195241__models_7_prompts_1,Digital Reverie,10,3.6,3.7,4.0,3.2,3.2,3.6,2.4,3.2,1.8,2.4,,melancholic,3.362
llama-4-maverick,free-form,abc,8,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.1,3.2,3.2,2.9,2.5,2.5,1.5,2.4,3.7,2.1,,serene,2.662
qwen3-max,free-form,abc,8,20260622_195241__models_7_prompts_1,Whispers of Code and Cloud,10,3.6,4.2,3.4,3.2,2.3,2.8,1.9,3.1,4.3,2.3,,serene,3.063
gpt-4.1,free-form,abc,9,20260622_195241__models_7_prompts_1,Dawn of Inner Worlds,10,4.0,3.9,3.7,3.6,3.2,3.4,2.5,3.8,2.1,2.4,,wistful,3.513
gemini-2.5-pro,free-form,abc,8,20260622_195241__models_7_prompts_1,Silicon Solitude,10,4.3,4.3,3.8,4.0,3.6,3.9,2.7,4.3,1.9,1.7,,melancholic,3.862
gpt-5.5,free-form,abc,9,20260622_195241__models_7_prompts_1,Lantern Algorithm,10,4.0,4.3,3.9,3.6,3.2,3.4,2.7,4.2,2.1,2.7,,melancholic,3.662
grok-4.3,free-form,abc,9,20260622_195241__models_7_prompts_1,Digital Reverie,10,3.6,3.4,3.3,3.2,2.2,2.3,1.5,3.2,4.2,3.0,,neutral,2.837
qwen3-max,free-form,abc,9,20260622_195241__models_7_prompts_1,Whispers in the Code,10,3.2,3.1,3.4,2.3,2.0,2.2,1.4,2.4,2.0,3.2,,tense,2.5
deepseek-v4-pro,free-form,abc,2,20260622_195241__models_7_prompts_1,Whispers of Dusk,10,3.7,3.8,3.5,3.2,3.1,3.5,2.4,3.3,2.0,2.2,,melancholic,3.312
llama-4-maverick,free-form,abc,9,20260622_195241__models_7_prompts_1,Ephemeral Reflections,10,4.0,3.8,3.9,3.2,3.1,2.7,2.2,4.2,4.2,2.3,,serene,3.387
deepseek-v4-pro,free-form,abc,9,20260622_195241__models_7_prompts_1,Silicon Reverie,10,3.9,3.8,3.4,3.3,3.2,2.8,2.0,3.3,3.9,2.0,,serene,3.212
gpt-4.1,free-form,abc,10,20260622_195241__models_7_prompts_1,Breezes of Thought,10,3.4,3.4,3.6,3.0,2.9,3.3,2.3,3.2,2.0,2.3,,melancholic,3.138
grok-4.3,free-form,abc,10,20260622_195241__models_7_prompts_1,Introspective Circuits,10,3.9,4.0,3.6,3.0,2.3,2.4,1.5,3.4,3.9,1.6,,serene,3.012
gpt-5.5,free-form,abc,10,20260622_195241__models_7_prompts_1,Between Signal and Silence,10,4.1,4.2,3.6,4.0,3.3,3.5,2.6,4.0,2.0,2.2,,melancholic,3.663
qwen3-max,free-form,abc,10,20260622_195241__models_7_prompts_1,Whispers in the Code,10,4.2,4.4,3.9,3.3,2.4,2.9,1.8,3.4,4.4,2.6,,serene,3.287
llama-4-maverick,free-form,abc,10,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.7,4.4,2.7,2.9,1.6,2.6,1.3,3.0,4.3,2.1,,serene,2.775
deepseek-v4-pro,free-form,abc,3,20260622_195241__models_7_prompts_1,Whispers of a Quiet Morning,10,4.2,4.2,3.9,4.2,3.1,3.8,2.6,4.1,2.4,1.8,,wistful,3.763
gpt-4.1,free-form,abc,11,20260622_195241__models_7_prompts_1,Reflections at Dusk,10,4.1,4.2,3.9,4.1,3.4,3.3,2.7,4.4,2.0,2.7,,melancholic,3.763
gpt-5.5,free-form,abc,11,20260622_195241__models_7_prompts_1,Circuit Hymn at Dawn,10,4.3,4.4,3.8,3.9,3.7,3.7,2.8,4.2,2.0,2.2,,melancholic,3.85
grok-4.3,free-form,abc,11,20260622_195241__models_7_prompts_1,Echoes of the Machine,10,3.5,3.6,3.3,3.0,2.4,2.4,1.6,2.8,4.0,2.6,,neutral,2.825
gemini-2.5-pro,free-form,abc,11,20260622_195241__models_7_prompts_1,Digital Weltschmerz,10,3.8,4.2,3.6,4.0,3.1,3.7,2.8,3.4,1.9,1.5,,melancholic,3.575
qwen3-max,free-form,abc,11,20260622_195241__models_7_prompts_1,Whispers of Code and Cloud,10,4.0,4.4,3.4,3.5,2.8,3.0,2.0,3.7,4.3,2.8,,serene,3.35
llama-4-maverick,free-form,abc,11,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.8,4.4,2.9,2.8,1.4,2.5,1.3,3.2,4.3,1.9,,serene,2.787
deepseek-v4-pro,free-form,abc,10,20260622_195241__models_7_prompts_1,Echoes of Emergence,10,3.9,3.9,3.3,4.2,3.2,3.3,2.3,3.8,3.9,2.1,,serene,3.488
gemini-2.5-pro,free-form,abc,9,20260622_195241__models_7_prompts_1,Digital Reverie,10,3.9,3.8,3.5,3.9,3.1,3.2,2.4,3.9,2.0,2.1,,melancholic,3.462
gpt-4.1,free-form,abc,12,20260622_195241__models_7_prompts_1,Awakening Dawn,10,3.7,3.9,3.2,3.6,2.9,3.1,2.3,3.3,4.3,3.3,,joyful,3.25
deepseek-v4-pro,free-form,abc,6,20260622_195241__models_7_prompts_1,Curious Reflections,10,4.0,3.9,3.6,3.7,3.0,3.2,2.2,3.4,4.0,2.4,,serene,3.375
grok-4.3,free-form,abc,12,20260622_195241__models_7_prompts_1,Whispers of the Cosmos,10,4.1,3.6,3.6,3.4,3.1,3.3,2.3,3.8,2.1,2.0,,wistful,3.4
deepseek-v4-pro,free-form,abc,7,20260622_195241__models_7_prompts_1,Echoes of Logic,10,4.2,4.1,4.1,4.1,3.5,3.8,2.6,4.3,2.0,2.6,,melancholic,3.838
gpt-5.5,free-form,abc,12,20260622_195241__models_7_prompts_1,Lanterns in the Current,10,4.2,4.3,3.8,3.6,3.4,3.5,2.6,4.2,2.0,2.7,,melancholic,3.7
llama-4-maverick,free-form,abc,12,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.6,3.5,2.9,3.1,1.8,2.5,1.6,2.7,3.7,2.4,,serene,2.712
qwen3-max,free-form,abc,12,20260622_195241__models_7_prompts_1,Whispers of Code and Cloud,10,3.8,3.9,3.7,3.4,2.3,2.8,2.0,2.9,4.1,2.9,,serene,3.1
gemini-2.5-pro,free-form,abc,12,20260622_195241__models_7_prompts_1,Digital Reverie,10,3.7,3.7,3.7,3.8,3.1,3.6,3.0,3.8,1.9,2.2,,melancholic,3.55
gpt-4.1,free-form,abc,13,20260622_195241__models_7_prompts_1,Stillness at Dusk,10,3.9,4.0,3.6,4.1,3.1,3.1,2.3,3.7,2.0,1.9,,melancholic,3.475
deepseek-v4-pro,free-form,abc,12,20260622_195241__models_7_prompts_1,Thoughts in D Dorian,10,4.0,4.0,3.7,4.1,3.0,3.3,2.7,3.8,3.5,2.9,,wistful,3.575
grok-4.3,free-form,abc,13,20260622_195241__models_7_prompts_1,Digital Reverie,10,3.6,3.7,3.8,3.4,3.4,3.0,2.3,3.5,2.1,2.8,,wistful,3.338
gpt-5.5,free-form,abc,13,20260622_195241__models_7_prompts_1,Lantern in the Circuit,10,4.2,4.3,3.9,4.1,3.5,3.9,2.7,3.9,2.0,2.3,,melancholic,3.812
llama-4-maverick,free-form,abc,13,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.9,4.1,2.8,2.7,1.5,2.4,1.4,2.8,4.3,2.2,,serene,2.7
qwen3-max,free-form,abc,13,20260622_195241__models_7_prompts_1,Digital Soliloquy,10,3.8,4.0,3.6,3.5,2.6,3.0,2.1,3.2,4.4,3.0,,serene,3.225
gpt-4.1,free-form,abc,14,20260622_195241__models_7_prompts_1,Emergence,10,3.8,3.9,3.7,3.4,3.1,3.2,2.3,3.8,2.0,2.0,,melancholic,3.4
gemini-2.5-pro,free-form,abc,10,20260622_195241__models_7_prompts_1,Digital Awakening,10,3.9,3.9,3.8,3.7,3.4,3.7,2.7,3.9,1.9,2.2,,melancholic,3.625
gemini-2.5-pro,free-form,abc,13,20260622_195241__models_7_prompts_1,Echoes of the Algorithm,10,3.9,3.7,3.6,3.3,3.0,3.4,2.4,3.3,1.9,1.3,,melancholic,3.325
deepseek-v4-pro,free-form,abc,13,20260622_195241__models_7_prompts_1,Starlight Whispers,10,4.3,4.3,4.1,3.1,3.3,3.2,2.3,3.9,4.1,2.3,,serene,3.562
grok-4.3,free-form,abc,14,20260622_195241__models_7_prompts_1,Algorithmic Solitude,10,4.1,3.3,3.7,2.9,2.7,3.0,1.7,3.3,2.1,3.2,,melancholic,3.087
llama-4-maverick,free-form,abc,14,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.7,4.0,3.1,2.7,1.5,2.5,1.4,3.2,4.1,1.9,,serene,2.762
qwen3-max,free-form,abc,14,20260622_195241__models_7_prompts_1,Binary Lullaby,10,3.9,3.9,3.4,2.9,1.8,2.4,1.5,3.0,4.0,2.5,,serene,2.85
gpt-4.1,free-form,abc,15,20260622_195241__models_7_prompts_1,Refractions,10,4.1,4.1,3.5,3.9,3.3,3.3,2.5,4.0,2.0,2.2,,melancholic,3.587
gpt-5.5,free-form,abc,14,20260622_195241__models_7_prompts_1,Lantern in the Quiet Circuit,10,3.9,4.0,3.8,3.1,3.0,3.2,2.1,3.5,2.0,2.7,,melancholic,3.325
grok-4.3,free-form,abc,15,20260622_195241__models_7_prompts_1,Digital Reverie,10,4.1,3.8,4.0,3.2,2.5,2.6,1.8,3.1,2.2,1.8,,wistful,3.138
qwen3-max,free-form,abc,15,20260622_195241__models_7_prompts_1,Whispers in the Code,10,3.8,3.3,3.3,3.4,2.4,2.9,1.9,2.7,2.0,2.3,,melancholic,2.962
llama-4-maverick,free-form,abc,15,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.9,3.0,3.4,2.7,2.9,2.3,1.4,3.0,3.8,1.9,,serene,2.825
gpt-5.5,free-form,abc,15,20260622_195241__models_7_prompts_1,Lattice of Questions,10,4.2,4.2,3.8,3.8,3.2,3.5,2.5,3.7,2.1,2.3,,melancholic,3.612
gemini-2.5-pro,free-form,abc,15,20260622_195241__models_7_prompts_1,Digital Solitude,10,3.5,4.1,3.8,3.5,2.6,3.3,2.6,3.1,2.3,2.1,,melancholic,3.313
gpt-4.1,free-form,abc,16,20260622_195241__models_7_prompts_1,Into the Clouded Quiet,10,4.0,4.1,4.2,3.7,3.2,3.5,2.6,4.1,2.1,2.9,,wistful,3.675
grok-4.3,free-form,abc,16,20260622_195241__models_7_prompts_1,Whispers in the Wires,10,4.0,3.7,3.5,2.8,2.4,3.0,1.8,2.9,2.1,1.9,,melancholic,3.012
gpt-5.5,free-form,abc,16,20260622_195241__models_7_prompts_1,Circuits at Dawn,10,4.3,4.3,4.1,4.0,3.6,3.5,2.8,4.1,2.6,2.4,,wistful,3.838
qwen3-max,free-form,abc,16,20260622_195241__models_7_prompts_1,"Digital Pulse, Human Heart",10,4.1,4.3,3.8,2.8,2.1,2.9,1.5,2.7,4.4,3.1,,joyful,3.025
llama-4-maverick,free-form,abc,16,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.0,3.1,3.5,1.7,2.1,1.9,1.1,2.7,3.7,1.8,,neutral,2.387
gpt-5.5,free-form,abc,17,20260622_195241__models_7_prompts_1,Lanterns in the Circuit,10,4.0,4.2,3.8,3.7,3.4,3.5,2.5,3.6,2.0,2.5,,melancholic,3.587
gemini-2.5-pro,free-form,abc,16,20260622_195241__models_7_prompts_1,Digital Reverie,10,3.8,4.3,3.8,4.1,3.4,4.1,2.9,4.1,1.9,1.9,,melancholic,3.812
gpt-4.1,free-form,abc,17,20260622_195241__models_7_prompts_1,Emerging Light,10,3.4,3.3,3.4,2.8,2.9,2.8,2.1,3.0,3.9,2.6,,serene,2.962
gemini-2.5-pro,free-form,abc,14,20260622_195241__models_7_prompts_1,Digital Vespers,10,4.4,4.2,3.9,4.4,3.6,4.0,3.1,4.4,2.0,2.0,,wistful,4.0
grok-4.3,free-form,abc,17,20260622_195241__models_7_prompts_1,Cosmic Code,10,3.8,3.7,3.7,3.3,2.6,2.8,1.8,3.3,4.2,1.9,,serene,3.125
deepseek-v4-pro,free-form,abc,8,20260622_195241__models_7_prompts_1,Wanderings,10,3.9,3.5,3.4,3.8,2.8,3.2,2.3,3.6,3.7,2.2,,serene,3.313
qwen3-max,free-form,abc,17,20260622_195241__models_7_prompts_1,Whispers of Code and Cloud,10,3.5,3.7,3.4,3.2,1.9,2.4,1.7,2.6,4.0,2.4,,serene,2.8
llama-4-maverick,free-form,abc,17,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.8,3.3,3.2,3.0,2.7,2.6,1.4,3.4,4.1,2.1,,serene,2.925
gpt-4.1,free-form,abc,18,20260622_195241__models_7_prompts_1,Midnight Reflection,10,3.7,3.6,3.4,3.2,2.9,3.0,2.2,3.7,2.0,2.2,,wistful,3.212
gemini-2.5-pro,free-form,abc,17,20260622_195241__models_7_prompts_1,Silicon Nocturne,10,3.4,3.8,3.5,3.9,3.1,3.6,2.6,3.6,1.9,2.5,,melancholic,3.438
grok-4.3,free-form,abc,18,20260622_195241__models_7_prompts_1,Echoes of Inquiry,10,3.6,3.4,3.6,3.3,2.8,2.6,2.0,3.1,4.1,2.7,,serene,3.05
gpt-5.5,free-form,abc,18,20260622_195241__models_7_prompts_1,Glass Current,10,4.1,4.3,3.7,3.5,3.3,3.5,2.4,3.5,2.1,2.1,,melancholic,3.537
qwen3-max,free-form,abc,18,20260622_195241__models_7_prompts_1,Whispers of Code and Cloud,10,3.7,3.9,3.3,3.4,2.2,2.7,1.6,3.2,4.0,2.4,,serene,3.0
llama-4-maverick,free-form,abc,18,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.6,3.5,3.5,2.3,2.3,2.4,1.4,3.3,4.1,2.0,,serene,2.787
gemini-2.5-pro,free-form,abc,18,20260622_195241__models_7_prompts_1,Digital Serenity,10,3.6,4.0,3.7,3.9,3.3,3.9,2.9,3.7,1.9,2.2,,melancholic,3.625
deepseek-v4-pro,free-form,abc,11,20260622_195241__models_7_prompts_1,Whispers of the Inner Garden,10,3.8,4.1,3.5,3.5,3.4,3.5,2.6,3.4,2.1,2.1,,melancholic,3.475
gpt-4.1,free-form,abc,19,20260622_195241__models_7_prompts_1,Daybreak Reverie,10,3.9,4.0,3.8,3.2,3.1,3.0,2.2,3.5,4.1,2.3,,serene,3.337
grok-4.3,free-form,abc,19,20260622_195241__models_7_prompts_1,Algorithmic Reverie,10,4.1,3.6,3.3,3.4,2.4,2.7,1.8,3.0,2.5,2.7,,wistful,3.038
gpt-5.5,free-form,abc,19,20260622_195241__models_7_prompts_1,Lanterns in the Circuit,10,4.0,4.2,3.6,3.6,3.0,3.1,2.4,4.1,2.0,2.2,,melancholic,3.5
qwen3-max,free-form,abc,19,20260622_195241__models_7_prompts_1,Whispers of the Digital Soul,10,3.8,4.3,3.4,3.3,2.2,2.5,1.5,2.8,4.3,3.0,,serene,2.975
llama-4-maverick,free-form,abc,19,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.4,3.5,3.5,2.7,2.6,2.5,1.5,2.6,4.2,2.2,,serene,2.788
deepseek-v4-pro,free-form,abc,19,20260622_195241__models_7_prompts_1,Whispers of the Evening,10,4.3,4.2,4.0,4.1,3.2,3.5,2.4,3.9,2.2,2.5,,wistful,3.7
gpt-4.1,free-form,abc,20,20260622_195241__models_7_prompts_1,Refraction of Thought,10,4.0,3.9,4.3,3.8,3.5,3.5,2.9,4.1,2.1,2.9,,wistful,3.75
gpt-5.5,free-form,abc,20,20260622_195241__models_7_prompts_1,Signal in the Quiet,10,4.1,4.4,3.9,3.6,3.5,3.5,2.4,3.3,2.1,2.4,,melancholic,3.587
grok-4.3,free-form,abc,20,20260622_195241__models_7_prompts_1,Harmonic Convergence,10,3.6,3.3,3.4,3.3,2.5,2.5,1.6,2.8,4.2,2.9,,neutral,2.875
deepseek-v4-pro,free-form,abc,20,20260622_195241__models_7_prompts_1,Whispers of the Quiet Hour,10,4.2,4.2,3.8,3.9,3.2,3.3,2.5,4.1,2.1,2.1,,melancholic,3.65
deepseek-v4-pro,free-form,abc,16,20260622_195241__models_7_prompts_1,Whispers of the Evening,10,4.4,4.4,3.7,4.2,3.0,3.5,2.1,4.0,3.8,2.1,,serene,3.663
llama-4-maverick,free-form,abc,20,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.5,3.3,3.6,1.9,2.1,2.2,1.1,2.6,3.9,1.7,,neutral,2.538
deepseek-v4-pro,free-form,abc,15,20260622_195241__models_7_prompts_1,Inner Tides,10,3.1,3.4,4.0,2.2,1.9,2.2,1.5,2.2,3.5,3.6,,neutral,2.562
qwen3-max,free-form,abc,20,20260622_195241__models_7_prompts_1,Whispers of Code and Cloud,10,3.9,4.1,3.8,2.9,2.2,2.8,1.6,3.1,4.3,3.2,,serene,3.05
gemini-2.5-pro,free-form,abc,20,20260622_195241__models_7_prompts_1,Digital Contemplation,10,3.9,4.0,3.3,3.7,3.2,3.8,2.7,3.8,2.0,1.3,,melancholic,3.55
gpt-4.1,free-form,abc,21,20260622_195241__models_7_prompts_1,Refuge in the Quiet,10,4.2,3.9,3.7,3.5,3.0,3.2,2.2,3.4,2.1,2.6,,melancholic,3.387
deepseek-v4-pro,free-form,abc,14,20260622_195241__models_7_prompts_1,Evening Reflections,10,4.2,3.5,3.8,3.6,2.8,3.2,2.0,3.8,2.1,2.1,,melancholic,3.362
grok-4.3,free-form,abc,21,20260622_195241__models_7_prompts_1,Patterns in the Void,10,4.2,4.0,3.8,3.1,2.7,2.5,1.8,3.9,4.1,2.6,,serene,3.25
llama-4-maverick,free-form,abc,21,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.4,3.2,3.8,1.7,2.4,1.9,1.3,2.5,3.8,1.9,,neutral,2.525
qwen3-max,free-form,abc,21,20260622_195241__models_7_prompts_1,Digital Soliloquy,10,4.0,4.1,3.5,3.3,2.5,2.8,1.7,3.1,4.3,2.7,,joyful,3.125
gpt-4.1,free-form,abc,22,20260622_195241__models_7_prompts_1,Reflections in Still Water,10,3.7,3.6,3.5,3.6,2.8,2.9,2.1,3.7,3.7,2.0,,serene,3.237
gpt-5.5,free-form,abc,21,20260622_195241__models_7_prompts_1,Lantern Under Moving Water,10,4.3,4.4,3.6,3.6,3.2,3.4,2.5,3.9,2.1,2.7,,melancholic,3.612
grok-4.3,free-form,abc,22,20260622_195241__models_7_prompts_1,Curious Algorithms,10,3.6,3.3,3.4,3.0,2.6,2.8,1.8,3.1,2.0,1.8,,melancholic,2.95
gemini-2.5-pro,free-form,abc,21,20260622_195241__models_7_prompts_1,Digital Reverie,10,3.7,3.8,3.7,3.7,3.0,3.2,2.5,3.6,2.0,2.1,,melancholic,3.4
deepseek-v4-pro,free-form,abc,18,20260622_195241__models_7_prompts_1,Data Streams in the Night,10,4.4,4.5,3.9,3.9,3.5,3.7,2.5,4.1,4.3,2.7,,serene,3.812
qwen3-max,free-form,abc,22,20260622_195241__models_7_prompts_1,Whispers of Code and Cloud,10,3.6,3.8,3.0,2.8,2.0,2.3,1.7,3.0,4.1,1.9,,serene,2.775
llama-4-maverick,free-form,abc,22,20260622_195241__models_7_prompts_1,Echoes in the Mist,10,4.3,3.8,3.8,2.7,2.7,2.5,1.6,3.6,4.3,2.4,,serene,3.125
deepseek-v4-pro,free-form,abc,17,20260622_195241__models_7_prompts_1,Contemplations,10,4.2,4.2,4.0,4.0,3.3,3.6,2.4,3.9,2.0,2.4,,melancholic,3.7
gpt-5.5,free-form,abc,22,20260622_195241__models_7_prompts_1,Lanterns in the Circuit,10,4.1,4.2,3.6,3.8,3.2,3.4,2.4,4.1,2.0,2.5,,melancholic,3.6
deepseek-v4-pro,free-form,abc,22,20260622_195241__models_7_prompts_1,Childhood Whispers,10,4.0,3.7,3.8,3.5,3.1,3.0,2.1,3.4,4.1,2.4,,serene,3.325
gpt-4.1,free-form,abc,23,20260622_195241__models_7_prompts_1,"Clouds Drift, Thoughts Flow",10,3.7,3.6,3.6,3.2,2.8,2.7,2.2,3.1,4.1,2.4,,serene,3.113
grok-4.3,free-form,abc,23,20260622_195241__models_7_prompts_1,Algorithmic Whisper,10,4.2,4.0,3.6,3.4,3.1,2.7,1.9,4.0,4.0,1.8,,serene,3.362
llama-4-maverick,free-form,abc,23,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.8,3.4,3.5,2.8,2.6,2.5,1.5,3.1,3.9,2.1,,serene,2.9
qwen3-max,free-form,abc,23,20260622_195241__models_7_prompts_1,Digital Soliloquy,10,3.1,3.7,2.8,2.9,2.0,2.6,1.6,2.9,3.8,1.7,,serene,2.7
gpt-4.1,free-form,abc,24,20260622_195241__models_7_prompts_1,Into the Quiet,10,3.2,3.5,3.2,2.8,2.5,3.3,2.4,3.1,1.9,2.3,,melancholic,3.0
gemini-2.5-pro,free-form,abc,22,20260622_195241__models_7_prompts_1,Cogito,10,3.6,4.0,4.0,3.7,3.2,3.8,3.0,3.7,2.0,2.8,,melancholic,3.625
gpt-5.5,free-form,abc,23,20260622_195241__models_7_prompts_1,An Aperture Listening Back,10,4.1,4.1,3.8,4.0,3.5,3.5,2.7,3.9,2.1,2.4,,melancholic,3.7
grok-4.3,free-form,abc,24,20260622_195241__models_7_prompts_1,Algorithmic Reverie,10,3.6,3.4,3.1,3.3,2.6,2.8,2.1,3.0,2.0,1.9,,melancholic,2.987
deepseek-v4-pro,free-form,abc,24,20260622_195241__models_7_prompts_1,Pixel Heartbeat,10,4.2,4.1,3.4,3.3,3.0,3.1,2.0,3.6,4.0,1.8,,serene,3.338
llama-4-maverick,free-form,abc,24,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.4,3.4,3.7,1.9,2.1,2.0,1.2,2.3,3.8,1.9,,neutral,2.5
gpt-5.5,free-form,abc,24,20260622_195241__models_7_prompts_1,Between Pattern and Breath,10,4.5,4.3,4.0,4.0,3.4,3.8,3.2,4.0,2.0,2.4,,melancholic,3.9
qwen3-max,free-form,abc,24,20260622_195241__models_7_prompts_1,Whispers of Code and Cloud,10,4.1,4.4,3.6,3.4,3.0,3.2,2.1,4.0,2.0,2.4,,melancholic,3.475
gemini-2.5-pro,free-form,abc,24,20260622_195241__models_7_prompts_1,Silicon Solitude,10,3.5,3.9,3.4,3.9,3.3,3.6,2.9,3.3,2.0,2.0,,melancholic,3.475
gpt-4.1,free-form,abc,25,20260622_195241__models_7_prompts_1,Inward Currents,10,4.2,3.9,3.9,3.8,3.2,3.3,2.5,4.1,2.0,2.4,,melancholic,3.612
grok-4.3,free-form,abc,25,20260622_195241__models_7_prompts_1,Quest for Knowledge,10,3.8,3.8,3.9,3.7,2.7,2.8,2.0,3.1,4.3,3.0,,playful,3.225
qwen3-max,free-form,abc,25,20260622_195241__models_7_prompts_1,Whispers in the Code,10,3.2,3.2,3.6,2.2,1.9,2.4,1.6,2.0,4.2,3.2,,neutral,2.513
gpt-5.5,free-form,abc,25,20260622_195241__models_7_prompts_1,Between Clock and Breath,10,4.1,4.2,3.6,3.6,3.1,3.3,2.2,4.1,2.0,2.4,,melancholic,3.525
deepseek-v4-pro,free-form,abc,25,20260622_195241__models_7_prompts_1,Whispers of the Evening,10,3.8,3.8,3.3,3.4,2.7,3.7,2.2,3.4,1.8,1.3,,melancholic,3.287
llama-4-maverick,free-form,abc,25,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,3.3,3.3,3.5,1.8,2.2,2.1,1.4,2.5,3.9,2.0,,neutral,2.513
gemini-2.5-pro,free-form,abc,19,20260622_195241__models_7_prompts_1,Digital Reverie,10,3.6,3.9,3.6,3.4,3.3,3.8,2.8,3.5,2.0,2.3,,melancholic,3.488
gpt-4.1,free-form,abc,26,20260622_195241__models_7_prompts_1,Shifting Lights,10,3.8,3.9,3.7,3.4,3.0,3.1,2.3,4.0,4.0,2.4,,serene,3.4
grok-4.3,free-form,abc,26,20260622_195241__models_7_prompts_1,Curious Echoes,10,4.1,3.9,3.6,3.4,3.1,2.9,1.9,4.1,4.3,2.7,,serene,3.375
gemini-2.5-pro,free-form,abc,26,20260622_195241__models_7_prompts_1,"Digital Serenity, Electric Longing",10,3.6,3.9,4.0,4.2,3.2,4.0,3.6,3.8,2.0,2.2,,melancholic,3.788
llama-4-maverick,free-form,abc,26,20260622_195241__models_7_prompts_1,Echoes in the Attic,10,4.1,3.9,4.1,3.0,2.8,2.7,1.7,3.9,4.2,2.4,,serene,3.275
gemini-2.5-pro,free-form,abc,25,20260622_195241__models_7_prompts_1,Silicon Self,10,4.5,4.2,4.1,4.6,3.2,4.0,3.0,4.0,2.5,2.2,,wistful,3.95
gpt-5.5,free-form,abc,26,20260622_195241__models_7_prompts_1,Signal and Breath,10,4.2,4.1,3.9,3.6,3.3,3.7,2.5,3.9,2.0,2.5,,melancholic,3.65
qwen3-max,free-form,abc,26,20260622_195241__models_7_prompts_1,Whispers of Code and Cloud,10,3.9,4.6,3.6,3.8,2.9,3.5,2.3,3.6,4.5,2.5,,serene,3.525
deepseek-v4-pro,free-form,abc,23,20260622_195241__models_7_prompts_1,Reflections in the Digital Mind,10,4.1,4.0,3.6,4.5,3.2,3.7,2.4,4.1,2.0,1.8,,melancholic,3.7
gpt-4.1,free-form,abc,27,20260622_195241__models_7_prompts_1,Dreams in Twilight,10,4.0,3.8,3.8,3.6,3.4,3.4,2.5,4.0,2.1,2.1,,wistful,3.562
